season,num_contestants,correlation,avg_rank_difference,max_rank_difference,major_disagreements,agreement_rate
1,6,1.0,0.0,0.0,0,1.0
2,10,1.0,0.0,0.0,0,1.0
3,11,1.0,0.0,0.0,0,1.0
4,11,1.0,0.0,0.0,0,1.0
5,12,1.0,0.0,0.0,0,1.0
6,12,1.0,0.0,0.0,0,1.0
7,13,1.0,0.0,0.0,0,1.0
8,13,1.0,0.0,0.0,0,1.0
9,16,1.0,0.0,0.0,0,1.0
10,11,1.0,0.0,0.0,0,1.0
11,12,1.0,0.0,0.0,0,1.0
12,11,1.0,0.0,0.0,0,1.0
13,12,1.0,0.0,0.0,0,1.0
14,12,1.0,0.0,0.0,0,1.0
15,13,1.0,0.0,0.0,0,1.0
16,12,1.0,0.0,0.0,0,1.0
17,12,1.0,0.0,0.0,0,1.0
18,12,1.0,0.0,0.0,0,1.0
19,13,1.0,0.0,0.0,0,1.0
20,12,1.0,0.0,0.0,0,1.0
21,13,1.0,0.0,0.0,0,1.0
22,12,1.0,0.0,0.0,0,1.0
23,13,1.0,0.0,0.0,0,1.0
24,12,1.0,0.0,0.0,0,1.0
25,13,1.0,0.0,0.0,0,1.0
26,10,1.0,0.0,0.0,0,1.0
27,13,1.0,0.0,0.0,0,1.0
28,12,1.0,0.0,0.0,0,1.0
29,15,1.0,0.0,0.0,0,1.0
30,15,1.0,0.0,0.0,0,1.0
31,16,1.0,0.0,0.0,0,1.0
32,14,1.0,0.0,0.0,0,1.0
33,13,1.0,0.0,0.0,0,1.0
34,14,1.0,0.0,0.0,0,1.0
